target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true
168,M04AA03,sparse,0.3593429158110883,0.4784394250513347,699.0
169,M05BA04,sparse,0.3258042436687201,0.3682409308692676,538.0
170,M09AB,sparse,0.28952772073921973,0.5065023956194388,740.0
171,N01BB02,ultra,0.0006844626967830253,0.0006844626967830253,1.0
172,N01BB52,ultra,0.0006844626967830253,0.0006844626967830253,1.0
173,N02AE01,sparse,0.057494866529774126,0.06228610540725531,91.0
174,N02AJ13,dense,1.0,28.654346338124572,41864.0
175,N02AX02,dense,1.0,5.072553045859,7411.0
176,N02BE01,dense,0.9952087611225188,4.6652977412731005,6816.0
177,N02BE05,sparse,0.5160848733744011,0.7980835044490076,1166.0
178,N02BF01,dense,1.0,4.654346338124572,6800.0
179,N02BF02,dense,1.0,7.362765229295003,10757.0
180,N02CA52,sparse,0.00889801505817933,0.01026694045174538,15.0
181,N03AE01,dense,1.0,4.7782340862423,6981.0
182,N03AG01,sparse,0.4798083504449008,0.6002737850787132,877.0
183,N03AX09,sparse,0.030800821355236138,0.030800821355236138,45.0
184,N03AX11,sparse,0.17180013689253937,0.17180013689253937,251.0
185,N03AX14,dense,1.0,7.901437371663245,11544.0
186,N03AX15,ultra,0.0006844626967830253,0.0006844626967830253,1.0
187,N03AX18,sparse,0.3737166324435318,0.5044490075290896,737.0
188,N04AA04,sparse,0.01026694045174538,0.01026694045174538,15.0
189,N04BA02,dense,1.0,6.431895961670089,9397.0
190,N04BB01,sparse,0.22039698836413416,0.22039698836413416,322.0
191,N04BC05,sparse,0.1300479123887748,0.20191649555099248,295.0
192,N05AD01,dense,0.7330595482546202,1.3956194387405887,2039.0
193,N05AH03,sparse,0.4469541409993155,0.9130732375085557,1334.0
194,N05AH04,dense,1.0,57.9151266255989,84614.0
195,N05AX08,dense,1.0,6.767967145790554,9888.0
196,N05AX12,sparse,0.5195071868583162,0.6119096509240246,894.0
197,N05BA01,sparse,0.5900068446269678,0.8165639972621492,1193.0
198,N05BA06,dense,1.0,15.321697467488022,22385.0
199,N05BA12,dense,1.0,8.491444216290212,12406.0
200,N05BB01,dense,1.0,6.579739904175223,9613.0
201,N05BE01,sparse,0.10403832991101986,0.10677618069815195,156.0
202,N05CD05,dense,1.0,15.715947980835045,22961.0
203,N05CF02,dense,1.0,2.9034907597535935,4242.0
204,N05CF04,dense,0.8281998631074606,2.4490075290896645,3578.0
205,N06AA10,sparse,0.6112251882272416,0.9137577002053389,1335.0
206,N06AB06,sparse,0.10198494182067078,0.10198494182067078,149.0
207,N06AB10,dense,1.0,17.32306639288159,25309.0
208,N06AX05,dense,1.0,10.613963039014374,15507.0
209,N06AX11,dense,1.0,5.340177960301164,7802.0
210,N06AX16,sparse,0.28199863107460643,0.38193018480492813,558.0
211,N06AX21,dense,0.9965776865160849,1.5756331279945244,2302.0
212,N06BA04,sparse,0.01163586584531143,0.01163586584531143,17.0
213,N06DA02,dense,1.0,53.644079397672826,78374.0
214,N06DA03,sparse,0.19096509240246407,0.19096509240246407,279.0
215,N06DA04,sparse,0.1026694045174538,0.1026694045174538,150.0
216,N06DX01,dense,1.0,14.791238877481177,21610.0
217,N06DX02,dense,1.0,6.195756331279945,9052.0
218,N07AB02,dense,1.0,7.9958932238193015,11682.0
219,N07AX01,sparse,0.14099931553730322,0.18001368925393565,263.0
220,N07AX02,dense,0.8898015058179329,7.844626967830253,11461.0
221,P01AB01,sparse,0.3326488706365503,0.4490075290896646,656.0
222,P01BA02,sparse,0.043121149897330596,0.043121149897330596,63.0
223,R01BA02,sparse,0.460643394934976,0.9780971937029432,1429.0
224,R03AC02,dense,0.8959616700889802,3.676249144421629,5371.0
225,R03BA02,dense,0.9014373716632443,3.1964407939767283,4670.0
226,R03BB01,dense,0.758384668035592,4.2149212867898695,6158.0
227,R03CC08,sparse,0.006160164271047228,0.006160164271047228,9.0
228,R03DA05,sparse,0.057494866529774126,0.06023271731690623,88.0
229,R03DA11,sparse,0.6146475017111568,1.3052703627652293,1907.0
230,R03DC03,sparse,0.568104038329911,0.8576317590691307,1253.0
231,R05CB01,dense,1.0,21.481177275838466,31384.0
232,R05CB02,sparse,0.5571526351813826,0.9664613278576317,1412.0
233,R05CB03,sparse,0.11909650924024641,0.12388774811772758,181.0
234,R05CB06,dense,1.0,9.379192334017796,13703.0
235,R05DB27,sparse,0.33127994524298426,0.5927446954140999,866.0
236,R05FA02,dense,0.9869952087611226,4.295687885010267,6276.0
237,R06AB04,dense,0.9295003422313484,10.674880219028063,15596.0
238,R06AE07,dense,1.0,9.550992470910336,13954.0
239,R06AE09,sparse,0.18138261464750172,0.20944558521560575,306.0
240,S01AE01,sparse,0.030116358658453114,0.03148528405201916,46.0
241,S01CA01,sparse,0.03353867214236824,0.03353867214236824,49.0
242,S01ED51,sparse,0.01026694045174538,0.01026694045174538,15.0
243,S01XA,sparse,0.00889801505817933,0.00889801505817933,13.0
244,S01XA20,sparse,0.10061601642710473,0.11430527036276524,167.0
245,S02AA16,sparse,0.05065023956194387,0.05065023956194387,74.0
246,V03AB,sparse,0.08008213552361396,0.08008213552361396,117.0
247,V03AE01,dense,0.9972621492128679,2.5530458590006844,3730.0
