target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true,n_valid_seeds,positive_seed_count,negative_seed_count,mean_skill,median_skill,std_skill,mean_mse,mean_naive_mse,mean_delta_mse,mean_mae,mean_observed,max_observed,beats_naive
131,J01DD04,dense,0.8631074606433949,2.160848733744011,3157.0,5,0,5,-0.005417538213998441,-0.0075884955752214545,0.003912984441845751,1.7166675824175825,1.7074175824175826,0.009250000000000069,0.9398901098901099,1.4986263736263736,5.0,False
125,J01CA04,sparse,0.2683093771389459,0.33059548254620125,483.0,5,1,1,-0.005540000000000034,0.0,0.014065134197724611,0.37983997252747254,0.37774725274725274,0.002092719780219787,0.28509615384615383,0.21016483516483517,3.0,False
66,C01CA03,sparse,0.3976728268309377,0.5311430527036276,776.0,5,0,4,-0.006127516778523523,-0.0010151006711409671,0.009922683887614987,0.4118489010989011,0.40934065934065933,0.0025082417582417806,0.37543956043956045,0.36538461538461536,3.0,False
230,R03DC03,sparse,0.568104038329911,0.8576317590691307,1253.0,5,0,2,-0.006411764705882339,0.0,0.010794939061549168,0.11750686813186813,0.11675824175824176,0.0007486263736263737,0.11818681318681319,0.6854395604395604,3.0,False
55,B05BA03,dense,0.8713210130047913,2.293634496919918,3351.0,5,2,3,-0.006877612633534591,-0.004139572689270787,0.011554363061168115,2.977757554945055,2.9574175824175826,0.020339972527472393,1.2800686813186812,2.6387362637362637,10.0,False
42,A12BA01,sparse,0.5968514715947981,1.109514031485284,1621.0,5,0,4,-0.007098934550989311,-0.006111111111110956,0.007022402130236325,0.9088791208791209,0.9024725274725276,0.006406593406593397,0.606043956043956,1.4986263736263736,6.0,False
141,J01MA14,sparse,0.49691991786447637,0.7234770704996578,1057.0,5,4,1,-0.007397009966777479,0.012599667774086387,0.04528953240506185,0.8330398351648352,0.8269230769230769,0.0061167582417583025,0.4754945054945055,0.5412087912087912,5.0,False
241,S01CA01,sparse,0.03353867214236824,0.03353867214236824,49.0,5,0,1,-0.0078064516129032315,0.0,0.0174557564695145,0.042914835164835165,0.042582417582417584,0.00033241758241758237,0.04318681318681319,0.03159340659340659,1.0,False
119,H02AB09,sparse,0.11498973305954825,0.11498973305954825,168.0,5,0,1,-0.008250000000000002,0.0,0.01844756081437327,0.0470885989010989,0.046703296703296704,0.0003853021978021981,0.0468543956043956,0.12362637362637363,1.0,False
31,A10BB12,dense,0.7378507871321013,1.218343600273785,1780.0,5,1,2,-0.008392241379310383,0.0,0.01643795931346723,0.32135576923076925,0.31868131868131866,0.0026744505494505576,0.2597527472527473,1.2225274725274726,4.0,False
