fold_id,t_end,date,mse_s1,mse_s8,skill_s1,skill_s8,delta_mse_s8_minus_s1,s1_cat500,s8_cat500,both_cat500,only_s1_cat500,only_s8_cat500
61,1584,2022-05-05,41.5461311340332,40.29166793823242,-0.0946481182393392,-0.0615958041200359,-1.2544631958007812,False,False,False,False,False
62,1598,2022-05-19,42.251487731933594,48.29166793823242,0.1195149912146055,-0.0063572184398923,6.040180206298828,False,False,False,False,False
63,1612,2022-06-02,85.23512268066406,84.43006134033203,0.0,0.0094451831007297,-0.8050613403320312,False,False,False,False,False
64,1626,2022-06-16,53.96428680419922,59.32291793823242,0.040482569016796,-0.0547971110051042,5.358631134033203,False,False,False,False,False
65,1640,2022-06-30,60.28868865966797,55.0625,0.0290699360295042,0.1132360342224458,-5.226188659667969,False,False,False,False,False
66,1654,2022-07-14,55.80803680419922,55.380950927734375,0.0259719862472541,0.0334259952355009,-0.42708587646484375,False,False,False,False,False
67,1668,2022-07-28,51.043155670166016,53.431549072265625,0.0153011595473786,-0.03077452254386,2.3883934020996094,False,False,False,False,False
68,1682,2022-08-11,64.55506134033203,47.654762268066406,-0.0004151173170485,0.2614902132338597,-16.900299072265625,False,False,False,False,False
69,1696,2022-08-25,48.8586311340332,48.7976188659668,-0.1005598093989446,-0.099185484155776,-0.06101226806640625,False,False,False,False,False
70,1710,2022-09-08,61.654762268066406,62.498512268066406,-0.0203167216488115,-0.0342798317512906,0.84375,False,False,False,False,False
71,1724,2022-09-22,46.48214340209961,3901.90625,0.0295460455344239,-80.46397892002983,3855.4241065979004,False,True,False,False,True
72,1738,2022-10-06,60.72321319580078,71.41368865966797,-0.0592907590737332,-0.2457815798487135,10.690475463867188,False,False,False,False,False
73,1752,2022-10-20,54.18452453613281,71.87797546386719,-0.0481591803958789,-0.3904257810822373,17.693450927734375,False,False,False,False,False
74,1766,2022-11-03,97.52529907226562,93.6264877319336,-0.0323551340762486,0.0089157765723205,-3.8988113403320312,False,False,False,False,False
75,1780,2022-11-17,68.29762268066406,81.78571319580078,0.0005443919479116,-0.1968379938241211,13.488090515136719,False,False,False,False,False
76,1794,2022-12-01,67.45088958740234,73.57588958740234,-0.0772393165678864,-0.1750599806738586,6.125,False,False,False,False,False
77,1808,2022-12-15,55.96131134033203,104.7827377319336,0.0372247511340725,-0.8027137674311156,48.82142639160156,False,False,False,False,False
78,1822,2022-12-29,93.4404754638672,108.63392639160156,-0.0223712554056181,-0.1886091455899214,15.19345092773436,False,False,False,False,False
79,1836,2023-01-12,88.67411041259766,69.07440185546875,0.0295266974463094,0.244031176871281,-19.599708557128906,False,False,False,False,False
80,1850,2023-01-26,113.84821319580078,76.79911041259766,0.126404488133061,0.4106946759328372,-37.049102783203125,False,False,False,False,False
81,1864,2023-02-09,92.4345245361328,124.0297622680664,0.0490945205969721,-0.2759364657483154,31.595237731933608,False,False,False,False,False
82,1878,2023-02-23,101.2827377319336,107.52381134033205,-0.0083558141068158,-0.070491011083358,6.241073608398452,False,False,False,False,False
83,1892,2023-03-09,71.1235122680664,83.63095092773438,0.001504121956089,-0.1740865589357032,12.507438659667969,False,False,False,False,False
84,1906,2023-03-23,84.19047546386719,93.57887268066406,0.0405481154293492,-0.0664439802100149,9.388397216796875,False,False,False,False,False
85,1920,2023-04-06,91.2827377319336,106.63987731933594,0.0063176664440878,-0.1608565296976583,15.357139587402344,False,False,False,False,False
86,1934,2023-04-20,71.9375,103.66517639160156,0.0803036356372353,-0.3253238691694966,31.727676391601562,False,False,False,False,False
87,1948,2023-05-04,84.9360122680664,90.01487731933594,0.039269475194513,-0.0181787208748112,5.078865051269531,False,False,False,False,False
88,1962,2023-05-18,97.3452377319336,91.7514877319336,-0.1837000116521658,-0.1156810505355172,-5.59375,False,False,False,False,False
89,1976,2023-06-01,67.39137268066406,81.23362731933594,0.0693750117208875,-0.1217762818120693,13.842254638671875,False,False,False,False,False
90,1990,2023-06-15,63.561012268066406,85.99107360839844,0.0103338536432384,-0.3389096775266511,22.43006134033203,False,False,False,False,False
91,2004,2023-06-29,75.55952453613281,1065.511962890625,0.0433340381654517,-12.490543158957095,989.9524383544922,False,True,False,False,True
92,2018,2023-07-13,81.30506134033203,97.67708587646484,0.0562253840144665,-0.1338181497431254,16.372024536132812,False,False,False,False,False
93,2032,2023-07-27,81.55952453613281,108.36161041259766,0.0412482695210048,-0.2738166644723649,26.802085876464844,False,False,False,False,False
94,2046,2023-08-10,65.92411041259766,92.61458587646484,0.0381266010249231,-0.3513038849385994,26.690475463867188,False,False,False,False,False
95,2060,2023-08-24,40.56547546386719,62.00297546386719,0.0788050761549722,-0.4080156982623766,21.4375,False,False,False,False,False
96,2074,2023-09-07,36.894344329833984,52.72768020629883,-0.0457651060542725,-0.494558829667213,15.833335876464844,False,False,False,False,False
97,2088,2023-09-21,61.41964340209961,74.77381134033203,0.0775523245627956,-0.1230108908791136,13.354167938232422,False,False,False,False,False
98,2102,2023-10-05,67.38243865966797,80.33184814453125,-0.4102276240087474,-0.6812420801994767,12.949409484863281,False,False,False,False,False
99,2116,2023-10-19,63.9523811340332,84.08631134033203,-0.2877090457835671,-0.6931144989360964,20.133930206298828,False,False,False,False,False
100,2130,2023-11-02,51.2976188659668,62.08631134033203,0.0512206376342044,-0.1483225184201595,10.788692474365234,False,False,False,False,False
101,2144,2023-11-16,91.06993865966795,112.48213958740234,-0.0352357911908787,-0.2786385769487447,21.41220092773439,False,False,False,False,False
102,2158,2023-11-30,87.35713958740234,145.07589721679688,0.1661363717134336,-0.3848154209432546,57.71875762939453,False,False,False,False,False
103,2172,2023-12-14,132.20535278320312,112.11607360839844,-0.5197316959778866,-0.2888006960707625,-20.089279174804688,False,False,False,False,False
104,2186,2023-12-28,69.875,106.4360122680664,0.0844463291356635,-0.3946029587719464,36.561012268066406,False,False,False,False,False
105,2200,2024-01-11,178.83482360839844,95.66220092773438,-1.236683352880259,-0.1964451218040157,-83.17262268066406,False,False,False,False,False
106,2214,2024-01-25,66.15327453613281,92.51934814453124,0.0530205655877937,-0.3244079086401024,26.366073608398423,False,False,False,False,False
107,2228,2024-02-08,39.94791793823242,46.35268020629883,-0.0710581305951398,-0.2427785369589521,6.404762268066406,False,False,False,False,False
108,2242,2024-02-22,67.14434814453125,63.58333206176758,0.0110899137675885,0.063536989639121,-3.561016082763672,False,False,False,False,False
109,2256,2024-03-07,68.12797546386719,89.10713958740234,-0.1965083711113884,-0.5649582673811322,20.979164123535156,False,False,False,False,False
110,2270,2024-03-21,69.26786041259766,87.71875,0.0796971084752091,-0.1654441004107927,18.450889587402344,False,False,False,False,False
111,2284,2024-04-04,45.09375,53.9211311340332,0.0129637549583285,-0.1802547094206112,8.827381134033203,False,False,False,False,False
112,2298,2024-04-18,39.793155670166016,45.105655670166016,-0.256980394718038,-0.4247908695215237,5.3125,False,False,False,False,False
113,2312,2024-05-02,39.40625,55.05356979370117,0.0713634609845633,-0.2973768504657874,15.647319793701172,False,False,False,False,False
114,2326,2024-05-16,80.02827453613281,78.08779907226562,0.0136455775737661,0.0375620816654648,-1.9404754638671875,False,False,False,False,False
115,2340,2024-05-30,64.32887268066406,38.59375,-0.6636776870307368,0.0018858086853748,-25.735122680664062,False,False,False,False,False
116,2354,2024-06-13,34.85118865966797,35.78571319580078,-0.2875205270135674,-0.3220450172689393,0.9345245361328125,False,False,False,False,False
