fold_id,t_end,date,mse_s1,mse_s2,skill_s1,skill_s2,delta_mse_s2_minus_s1,s1_cat500,s2_cat500,both_cat500,only_s1_cat500,only_s2_cat500,dist_to_day_after_holiday
39,1276,2021-07-01,28.599702835083008,20.032737731933594,-0.1716044660810916,0.1793465432174489,-8.566965103149414,False,False,False,False,False,24
40,1290,2021-07-15,38.380950927734375,38.55208206176758,-0.0293331216285119,-0.0339226625373314,0.17113113403320312,False,False,False,False,False,32
41,1304,2021-07-29,36.91518020629883,33.061012268066406,0.0213042530227319,0.1234860044920257,-3.854167938232422,False,False,False,False,False,18
42,1318,2021-08-12,17.23214340209961,21.1800594329834,0.1739192133648968,-0.0153374278004994,3.947916030883789,False,False,False,False,False,4
43,1332,2021-08-26,18.936012268066406,24.828868865966797,0.274308511882485,0.0484744865737275,5.892856597900391,False,False,False,False,False,9
44,1346,2021-09-09,16.994047164916992,21.657737731933594,0.0461873239055151,-0.2155682859874528,4.663690567016602,False,False,False,False,False,12
45,1360,2021-09-23,30.004465103149418,21.709821701049805,0.0,0.2764469679290821,-8.294643402099613,False,False,False,False,False,0
46,1374,2021-10-07,34.587799072265625,36.081844329833984,0.0081505294759324,-0.0346931332434574,1.4940452575683594,False,False,False,False,False,2
47,1388,2021-10-21,20.464284896850582,17.738094329833984,0.1464747145861131,0.2601787894430651,-2.726190567016598,False,False,False,False,False,9
48,1402,2021-11-04,29.894344329833984,21.2425594329834,-0.2093792902082016,0.1406297068830989,-8.651784896850586,False,False,False,False,False,23
49,1416,2021-11-18,25.82589340209961,20.886905670166016,0.103749183854916,0.2751497126480909,-4.938987731933594,False,False,False,False,False,37
50,1430,2021-12-02,19.449405670166016,19.7425594329834,0.1892058867728898,0.1769850842870172,0.2931537628173828,False,False,False,False,False,25
51,1444,2021-12-16,35.654762268066406,29.754465103149418,-0.0872623124984515,0.0926623408122045,-5.900297164916989,False,False,False,False,False,11
52,1458,2021-12-30,56.88393020629883,58.6398811340332,0.1316416674169023,0.104836300520219,1.755950927734375,False,False,False,False,False,3
53,1472,2022-01-13,39.63541793823242,45.49702453613281,-0.2213968178659748,-0.4020268709516978,5.861606597900391,False,False,False,False,False,10
54,1486,2022-01-27,35.91368865966797,49.14881134033203,0.3035523824953007,0.0468934314841651,13.235122680664062,False,False,False,False,False,5
55,1500,2022-02-10,23.452381134033203,23.505952835083008,0.0354956797417571,0.033292486095414,0.05357170104980469,False,False,False,False,False,7
56,1514,2022-02-24,57.35118865966797,64.33482360839844,0.1827820699278987,0.083269717515328,6.983634948730469,False,False,False,False,False,6
57,1528,2022-03-10,47.974700927734375,41.95535659790039,0.0,0.1254691371375319,-6.019344329833984,False,False,False,False,False,0
58,1542,2022-03-24,32.619049072265625,22.8050594329834,-0.2643480094353445,0.1160523583851798,-9.813989639282227,False,False,False,False,False,14
