seed,target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true,n_rows,mse,naive_mse,mae,mean_observed,max_observed,skill,delta_mse
123,12,C01EA01,sparse,0.01564333202972233,0.03402424716464607,87.0,1820,0.07417582417582418,0.09835164835164835,0.03241758241758242,0.03241758241758242,5.0,0.24581005586592175,-0.024175824175824173
123,13,C07AG01,ultra,0.001564333202972233,0.001564333202972233,4.0,1820,0.0005494505494505495,0.0005494505494505495,0.0005494505494505495,0.0005494505494505495,1.0,0.0,0.0
123,14,C08CA04,ultra,0.0019554165037152915,0.0023464998044583495,6.0,1820,0.0,0.0,0.0,0.0,0.0,,0.0
123,15,D11AH05,sparse,0.1020727414939382,0.15056707078607742,385.0,1820,0.9030206043956044,1.1851648351648352,0.4486538461538461,0.21043956043956044,5.0,0.23806328233657859,-0.2821442307692308
123,16,H02AB02,dense,0.7989831834180681,10.864294094642158,27780.0,1820,63.773624999999996,77.8565934065934,5.554258241758242,7.812637362637362,58.0,0.18088343954438635,-14.082968406593409
123,17,H02AB04,ultra,0.0007821666014861165,0.0007821666014861165,2.0,1820,0.001098901098901099,0.007692307692307693,0.001098901098901099,0.001098901098901099,1.0,0.8571428571428572,-0.006593406593406594
123,18,H02AB08,sparse,0.20258114978490419,0.2835353930387172,725.0,1820,1.0176881868131868,0.7335164835164835,0.4943131868131868,0.2434065934065934,3.0,-0.3874101123595508,0.2841717032967034
123,19,J01CR02,sparse,0.15526007039499412,0.19554165037152912,500.0,1820,0.3340851648351648,0.310989010989011,0.2713186813186813,0.13296703296703297,3.0,-0.07426678445229684,0.023096153846153822
123,20,J01DC02,sparse,0.08017207665232695,0.6253421978881502,1599.0,1820,6.533229395604396,6.945604395604396,0.7957417582417582,0.85,18.0,0.05937208290483342,-0.41237499999999994
123,21,J01DC05,sparse,0.4337113805240516,3.147829487680876,8049.0,1820,32.88616208791209,36.322527472527476,4.009615384615385,4.093956043956044,22.0,0.09460700077147655,-3.436365384615385
123,22,J01DC07,sparse,0.00899491591709034,0.03245991396167384,83.0,1820,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,1.0,0.0,0.0
123,23,J01DC09,sparse,0.16151740320688307,1.1650371529135706,2979.0,1820,0.001098901098901099,0.001098901098901099,0.001098901098901099,0.001098901098901099,1.0,0.0,0.0
123,24,J01DC14,ultra,0.0011732499022291747,0.0011732499022291747,3.0,1820,0.0005494505494505495,0.0005494505494505495,0.0005494505494505495,0.0005494505494505495,1.0,0.0,0.0
123,25,J01DD04,ultra,0.004301916308173641,0.004301916308173641,11.0,1820,0.006043956043956044,0.013736263736263736,0.006043956043956044,0.006043956043956044,1.0,0.56,-0.007692307692307692
123,26,J01GB03,sparse,0.34728197105983577,2.5189675400860385,6441.0,1820,18.37285576923077,19.747252747252748,2.631236263736264,3.5087912087912088,21.0,0.06959940178074564,-1.3743969780219771
123,27,J01GB07,sparse,0.4657802111849824,5.511928040672664,14094.0,1820,17.499447802197803,19.752197802197802,2.0228571428571427,3.3807692307692307,29.0,0.11405059946034657,-2.252749999999999
123,28,J01MA02,sparse,0.06570199452483379,0.07235041063746578,185.0,1820,0.23902472527472526,0.27692307692307694,0.19725274725274725,0.0978021978021978,3.0,0.13685515873015885,-0.037898351648351675
123,29,M01AB05,dense,0.7704341024638248,4.764567852952679,12183.0,1820,36.288181318681325,41.72857142857143,4.06956043956044,5.102197802197802,37.0,0.13037566165433323,-5.440390109890103
