target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true,n_valid_seeds,positive_seed_count,negative_seed_count,mean_skill,median_skill,std_skill,mean_mse,mean_naive_mse,mean_delta_mse,mean_mae,mean_observed,max_observed,beats_naive
9,B05BB01,sparse,0.3343762221353148,0.7328901055924912,1874.0,5,4,1,0.03956396689730015,0.053948921448921494,0.04506836641778385,3.8897659340659345,4.05,-0.16023406593406567,1.1111318681318683,0.6796703296703297,11.0,True
20,J01DC02,sparse,0.08017207665232695,0.6253421978881502,1599.0,5,5,0,0.03837651293410331,0.03305236927458277,0.023698181040571847,6.679056318681319,6.945604395604396,-0.266548076923077,0.8055769230769231,0.85,18.0,True
7,B02AA02,sparse,0.02698474775127102,0.032850997262416894,84.0,5,5,0,0.03097549019607846,0.02941176470588236,0.0034965964942276595,0.10861593406593406,0.11208791208791209,-0.0034719780219780254,0.08119780219780219,0.041758241758241756,3.0,True
30,M01AB15,sparse,0.1396167383652718,0.31795072350410636,813.0,5,4,1,0.00936598440545804,0.005399610136452182,0.012256767670902141,0.5584563186813186,0.5637362637362637,-0.005279945054945045,0.2597307692307692,0.25934065934065936,7.0,True
39,N02AB02,ultra,0.004301916308173641,0.009385999217833398,24.0,5,0,0,0.0,0.0,0.0,0.001098901098901099,0.001098901098901099,0.0,0.001098901098901099,0.001098901098901099,1.0,False
34,N01AH06,sparse,0.014470082127493155,0.019554165037152915,50.0,5,0,0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.0,0.015384615384615385,0.015384615384615385,1.0,False
33,N01AH01,sparse,0.005475166210402816,0.02072741493938209,53.0,5,0,0,0.0,0.0,0.0,0.001098901098901099,0.001098901098901099,0.0,0.001098901098901099,0.001098901098901099,1.0,False
44,R03CA02,ultra,0.002737583105201408,0.002737583105201408,7.0,5,0,0,0.0,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0,0.0038461538461538464,0.0038461538461538464,1.0,False
24,J01DC14,ultra,0.0011732499022291747,0.0011732499022291747,3.0,5,0,0,0.0,0.0,0.0,0.0005494505494505495,0.0005494505494505495,0.0,0.0005494505494505495,0.0005494505494505495,1.0,False
47,V03AB25,ultra,0.0007821666014861165,0.0007821666014861165,2.0,5,0,0,0.0,0.0,0.0,0.001098901098901099,0.001098901098901099,0.0,0.001098901098901099,0.001098901098901099,1.0,False
23,J01DC09,sparse,0.16151740320688307,1.1650371529135706,2979.0,5,0,0,0.0,0.0,0.0,0.001098901098901099,0.001098901098901099,0.0,0.001098901098901099,0.001098901098901099,1.0,False
22,J01DC07,sparse,0.00899491591709034,0.03245991396167384,83.0,5,0,0,0.0,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0,0.0038461538461538464,0.0038461538461538464,1.0,False
13,C07AG01,ultra,0.001564333202972233,0.001564333202972233,4.0,5,0,0,0.0,0.0,0.0,0.0005494505494505495,0.0005494505494505495,0.0,0.0005494505494505495,0.0005494505494505495,1.0,False
8,B05BA03,ultra,0.00039108330074305825,0.00039108330074305825,1.0,5,0,0,0.0,0.0,0.0,0.0005494505494505495,0.0005494505494505495,0.0,0.0005494505494505495,0.0005494505494505495,1.0,False
41,N05BA01,sparse,0.16699256941728588,0.20766523269456394,531.0,5,3,2,-0.0010078888054095181,0.0012509391435010508,0.007427529812751162,0.7320557692307692,0.7313186813186813,0.0007370879120879526,0.4792692307692308,0.28186813186813187,3.0,False
37,N01BB02,sparse,0.032068830660930775,0.04732107938991005,121.0,5,0,1,-0.002465217391304364,0.0,0.005512393666271257,0.06334258241758242,0.06318681318681318,0.00015576923076923154,0.06353296703296703,0.03461538461538462,1.0,False
